NAME                              READY   STATUS    RESTARTS   AGE
events-latest-5fb699c7d4-2pwps    0/1     Pending       0          0s
orders-66fdd7bd8c-sgd9x           0/1     Pending       0          0s
orders-66fdd7bd8c-sgd9x           0/1     Pending       0          0s
runtime-latest-6bc67fd44b-hlw62   0/1     Pending       0          0s
runtime-latest-6bc67fd44b-hlw62   0/1     Pending       0          0s
orders-mongodb-57778486fd-59hdd   0/1     ContainerCreating   0          2s
ui-7bc6d569b-q9dkh                0/1     ContainerCreating   0          3s
purchase-5d97fb9b8c-kplx7         0/1     ContainerCreating   0          3s
broker-latest-fd877b768-g9mxj     0/1     ContainerCreating   0          4s
users-596646bb9c-f2dxh            0/1     ContainerCreating   0          4s
registry-latest-ffc9b4bd4-5v2qs   0/1     ContainerCreating   0          4s
products-6d56579fc-g8nb4          0/1     ContainerCreating   0          4s
supply-78968f4c84-jj4bb           0/1     ContainerCreating   0          4s
orders-66fdd7bd8c-sgd9x           0/1     ContainerCreating   0          4s
proxy-latest-6b8fb9ff67-vgrdb     0/1     ContainerCreating   0          5s
cart-mongo-8c74d75d4-sp8h9        0/1     ContainerCreating   0          6s
users-postgres-0                  0/1     ContainerCreating   0          6s
api-latest-58d9d65655-nc5sr       0/1     ContainerCreating   0          7s
products-mongo-6cc7b978c8-9788b   0/1     ContainerCreating   0          7s
purchase-5d97fb9b8c-kplx7         1/1     Running             0          7s
network-latest-8db575747-6262x    0/1     ContainerCreating   0          6s
runtime-latest-6bc67fd44b-hlw62   0/1     ContainerCreating   0          7s
broker-latest-fd877b768-g9mxj     0/1     Running             0          8s
users-596646bb9c-f2dxh            1/1     Running             0          8s
events-latest-5fb699c7d4-2pwps    0/1     ContainerCreating   0          7s
auth-latest-6d7cf54788-lmkvg      0/1     ContainerCreating   0          9s
supply-78968f4c84-jj4bb           1/1     Running             0          8s
orders-66fdd7bd8c-sgd9x           1/1     Running             0          8s
users-596646bb9c-f2dxh            0/1     Error               0          9s
registry-latest-ffc9b4bd4-5v2qs   0/1     Running             0          9s
store-latest-fd59d8888-8xm9f      0/1     ContainerCreating   0          9s
config-latest-6c4bd5d5bd-9vkp5    0/1     ContainerCreating   0          10s
products-6d56579fc-g8nb4          1/1     Running             0          10s
cart-598b6cdc77-rxzkr             0/1     ContainerCreating   0          11s
users-596646bb9c-f2dxh            0/1     Error               1          11s
ui-7bc6d569b-q9dkh                1/1     Running             0          11s
orders-mongodb-57778486fd-59hdd   1/1     Running             0          12s
users-596646bb9c-f2dxh            0/1     CrashLoopBackOff    1          12s
cart-598b6cdc77-rxzkr             1/1     Running             0          13s
proxy-latest-6b8fb9ff67-vgrdb     0/1     Running             0          15s
auth-latest-6d7cf54788-lmkvg      0/1     Running             0          15s
store-latest-fd59d8888-8xm9f      0/1     Running             0          16s
api-latest-58d9d65655-nc5sr       0/1     Running             0          17s
runtime-latest-6bc67fd44b-hlw62   0/1     Running             0          16s
config-latest-6c4bd5d5bd-9vkp5    0/1     Running             0          17s
network-latest-8db575747-6262x    0/1     Running             0          16s
events-latest-5fb699c7d4-2pwps    0/1     Running             0          16s
broker-latest-fd877b768-g9mxj     1/1     Running             0          19s
cart-mongo-8c74d75d4-sp8h9        1/1     Running             0          19s
users-postgres-0                  1/1     Running             0          20s
registry-latest-ffc9b4bd4-5v2qs   1/1     Running             0          23s
products-mongo-6cc7b978c8-9788b   1/1     Running             0          24s
users-596646bb9c-f2dxh            0/1     Error               2          24s
events-latest-5fb699c7d4-2pwps    1/1     Running             0          26s
api-latest-58d9d65655-nc5sr       1/1     Running             0          27s
proxy-latest-6b8fb9ff67-vgrdb     1/1     Running             0          29s
config-latest-6c4bd5d5bd-9vkp5    1/1     Running             0          30s
store-latest-fd59d8888-8xm9f      1/1     Running             0          31s
runtime-latest-6bc67fd44b-hlw62   1/1     Running             0          30s
auth-latest-6d7cf54788-lmkvg      1/1     Running             0          32s
network-latest-8db575747-6262x    1/1     Running             0          34s
users-596646bb9c-f2dxh            0/1     CrashLoopBackOff    2          38s
users-596646bb9c-f2dxh            1/1     Running             3          53s
products-mongo-6cc7b978c8-9788b   1/1     Terminating         0          10m
ui-7bc6d569b-q9dkh                1/1     Terminating         0          10m
config-latest-6c4bd5d5bd-9vkp5    1/1     Terminating         0          10m
orders-mongodb-57778486fd-59hdd   1/1     Terminating         0          10m
network-latest-8db575747-6262x    1/1     Terminating         0          9m59s
api-latest-58d9d65655-nc5sr       1/1     Terminating         0          10m
events-latest-5fb699c7d4-2pwps    1/1     Terminating         0          9m59s
cart-598b6cdc77-rxzkr             1/1     Terminating         0          10m
broker-latest-fd877b768-g9mxj     1/1     Terminating         0          10m
auth-latest-6d7cf54788-lmkvg      1/1     Terminating         0          10m
users-596646bb9c-f2dxh            1/1     Terminating         3          10m
orders-66fdd7bd8c-sgd9x           1/1     Terminating         0          9m59s
registry-latest-ffc9b4bd4-5v2qs   1/1     Terminating         0          10m
purchase-5d97fb9b8c-kplx7         1/1     Terminating         0          10m
store-latest-fd59d8888-8xm9f      1/1     Terminating         0          10m
products-6d56579fc-g8nb4          1/1     Terminating         0          10m
users-postgres-0                  1/1     Terminating         0          10m
supply-78968f4c84-jj4bb           1/1     Terminating         0          9m59s
cart-mongo-8c74d75d4-sp8h9        1/1     Terminating         0          10m
runtime-latest-6bc67fd44b-hlw62   1/1     Terminating         0          9m59s
proxy-latest-6b8fb9ff67-vgrdb     1/1     Terminating         0          10m
ui-7bc6d569b-q9dkh                1/1     Terminating         0          10m
products-mongo-6cc7b978c8-9788b   1/1     Terminating         0          10m
events-latest-5fb699c7d4-2pwps    1/1     Terminating         0          9m59s
cart-598b6cdc77-rxzkr             1/1     Terminating         0          10m
orders-66fdd7bd8c-sgd9x           1/1     Terminating         0          9m59s
registry-latest-ffc9b4bd4-5v2qs   1/1     Terminating         0          10m
api-latest-58d9d65655-nc5sr       1/1     Terminating         0          10m
broker-latest-fd877b768-g9mxj     1/1     Terminating         0          10m
auth-latest-6d7cf54788-lmkvg      1/1     Terminating         0          10m
network-latest-8db575747-6262x    1/1     Terminating         0          9m59s
config-latest-6c4bd5d5bd-9vkp5    1/1     Terminating         0          10m
users-596646bb9c-f2dxh            1/1     Terminating         3          10m
purchase-5d97fb9b8c-kplx7         1/1     Terminating         0          10m
orders-mongodb-57778486fd-59hdd   1/1     Terminating         0          10m
cart-mongo-8c74d75d4-sp8h9        1/1     Terminating         0          10m
store-latest-fd59d8888-8xm9f      1/1     Terminating         0          10m
supply-78968f4c84-jj4bb           1/1     Terminating         0          9m59s
users-postgres-0                  1/1     Terminating         0          10m
runtime-latest-6bc67fd44b-hlw62   1/1     Terminating         0          9m59s
proxy-latest-6b8fb9ff67-vgrdb     1/1     Terminating         0          10m
products-6d56579fc-g8nb4          1/1     Terminating         0          10m
config-latest-6c4bd5d5bd-kvsg7    0/1     Pending             0          0s
network-latest-8db575747-f65rz    0/1     Pending             0          0s
orders-mongodb-57778486fd-wblh6   0/1     Pending             0          0s
products-mongo-6cc7b978c8-ld6ft   0/1     Pending             0          0s
ui-7bc6d569b-6mklk                0/1     Pending             0          0s
config-latest-6c4bd5d5bd-kvsg7    0/1     Pending             0          0s
orders-mongodb-57778486fd-wblh6   0/1     Pending             0          0s
ui-7bc6d569b-6mklk                0/1     Pending             0          0s
network-latest-8db575747-f65rz    0/1     Pending             0          0s
products-mongo-6cc7b978c8-ld6ft   0/1     Pending             0          0s
users-postgres-0                  0/1     Pending             0          0s
users-postgres-0                  0/1     Pending             0          0s
broker-latest-fd877b768-vk5ms     0/1     Pending             0          0s
events-latest-5fb699c7d4-wgbvs    0/1     Pending             0          0s
api-latest-58d9d65655-hwwkn       0/1     Pending             0          0s
cart-598b6cdc77-nmsdw             0/1     Pending             0          0s
auth-latest-6d7cf54788-fdts7      0/1     Pending             0          0s
broker-latest-fd877b768-vk5ms     0/1     Pending             0          0s
events-latest-5fb699c7d4-wgbvs    0/1     Pending             0          0s
api-latest-58d9d65655-hwwkn       0/1     Pending             0          0s
cart-598b6cdc77-nmsdw             0/1     Pending             0          0s
auth-latest-6d7cf54788-fdts7      0/1     Pending             0          0s
registry-latest-ffc9b4bd4-f2hsc   0/1     Pending             0          0s
orders-66fdd7bd8c-xrr7g           0/1     Pending             0          0s
users-596646bb9c-lrqt4            0/1     Pending             0          0s
