NAME                              READY   STATUS    RESTARTS   AGE
users-postgres-0                  1/1     Running             0          22s
registry-latest-ffc9b4bd4-rt6jc   1/1     Running             0          25s
runtime-latest-6bc67fd44b-9pktn   1/1     Running             0          25s
products-mongo-6cc7b978c8-6xqpx   1/1     Running             0          26s
events-latest-5fb699c7d4-n2vdn    1/1     Running             0          27s
cart-mongo-8c74d75d4-wpdh5        1/1     Running             0          27s
api-latest-58d9d65655-qqzfz       1/1     Running             0          28s
store-latest-fd59d8888-jzvg9      1/1     Running             0          29s
auth-latest-6d7cf54788-dccvl      1/1     Running             0          29s
proxy-latest-6b8fb9ff67-5r8k6     1/1     Running             0          30s
users-596646bb9c-tllvd            1/1     Running             2          36s
